concat,weighted_sum,V
0 14 1,15,205.2264958620072
0 14 2,16,206.88833296298984
0 14 3,17,208.621308207512
0 14 4,18,210.3271037340165
0 14 5,19,212.12872862815863
0 14 6,20,213.95708620548257
0 14 7,21,215.7876789569856
0 14 8,22,217.6816016435624
0 14 9,23,219.5927947759629
0 14 10,24,221.5481996536256
0 14 11,25,223.53696823120129
0 14 12,26,225.56324303150183
0 14 13,27,227.6208847761155
0 14 14,28,229.7050357
0 14 15,29,231.83007538318645
0 14 16,30,234.00548100471508
0 15 0,15,205.23199439048773
0 15 1,16,206.8754286
0 15 2,17,208.61485600471505
0 15 3,18,210.3467435
0 15 4,19,212.11902797222143
0 15 5,20,213.9478474855424
0 15 6,21,215.77556431293496
0 15 7,22,217.69310534000405
0 15 8,23,219.61621940135964
0 15 9,24,221.56715393066412
0 15 10,25,223.54206442832955
0 15 11,26,225.59931874275216
0 15 12,27,227.63669490814215
0 15 13,28,229.73792254924783
0 15 14,29,231.8853735923768
0 15 15,30,234.0498417615892
0 15 16,31,236.23624444007885
0 16 0,16,206.89345896244052
0 16 1,17,208.59363675117496
0 16 2,18,210.34011244773876
0 16 3,19,212.12245523929604
0 16 4,20,213.9318138360978
0 16 5,21,215.8000320196153
0 16 6,22,217.6862061023713
0 16 7,23,219.63393688201916
0 16 8,24,221.5866446495057
0 16 9,25,223.57839345932013
0 16 10,26,225.5980223417283
0 16 11,27,227.6813983917237
0 16 12,28,229.7817319631577
0 16 13,29,231.90274834632885
0 16 14,30,234.0815812349321
0 16 15,31,236.2695634365083
0 16 16,32,238.47509920597088
1 0 0,16,201.98979973793035
1 0 1,17,203.59070599079132
1 0 2,18,205.16084134578708
1 0 3,19,206.7712098360062
1 0 4,20,208.4592878818512
1 0 5,21,210.15505492687228
1 0 6,22,211.8988484144211
1 0 7,23,213.6512845754624
1 0 8,24,215.45927226543432
1 0 9,25,217.3106968402863
1 0 10,26,219.1625833511353
1 0 11,27,221.0873812437058
1 0 12,28,223.01818430423745
1 0 13,29,225.01072287559515
1 0 14,30,227.03622281551367
1 0 15,31,229.0994375944138
1 0 16,32,231.2042415
1 1 0,17,203.58027517795568
1 1 1,18,205.1537036895752
1 1 2,19,206.78584277629852
1 1 3,20,208.5012644529343
1 1 4,21,210.15146374702456
1 1 5,22,211.8949890136719
1 1 6,23,213.6432975530625
1 1 7,24,215.42823314666757
1 1 8,25,217.26725995540625
1 1 9,26,219.190999865532
1 1 10,27,221.0859954357148
1 1 11,28,223.0643182992936
1 1 12,29,225.0086367
1 1 13,30,227.04401612281805
1 1 14,31,229.116514325142
1 1 15,32,231.19685053825384
1 1 16,33,233.32138359546667
1 2 0,18,205.15215396881104
1 2 1,19,206.80901408195496
1 2 2,20,208.4712088108063
1 2 3,21,210.1681232452393
1 2 4,22,211.89700067043307
1 2 5,23,213.66061270236972
1 2 6,24,215.45198559761053
1 2 7,25,217.28801727294928
1 2 8,26,219.19542551040652
1 2 9,27,221.09121084213265
1 2 10,28,223.02931547164923
1 2 11,29,225.01601278781897
1 2 12,30,227.03437507152563
1 2 13,31,229.09019887447363
1 2 14,32,231.21176660060888
1 2 15,33,233.32367837429047
1 2 16,34,235.50249636173257
1 3 0,19,206.7806422710419
1 3 1,20,208.4637135267258
1 3 2,21,210.14542877674103
1 3 3,22,211.8818759918213
1 3 4,23,213.6338949203492
1 3 5,24,215.4595554
1 3 6,25,217.29552745819095
1 3 7,26,219.19149160385135
1 3 8,27,221.1038321256638
1 3 9,28,223.02472591400152
1 3 10,29,225.0544577836991
1 3 11,30,227.0684242248536
1 3 12,31,229.12646830081945
1 3 13,32,231.20315372943884
1 3 14,33,233.35316777229315
1 3 15,34,235.50374805927285
1 3 16,35,237.710788846016
1 4 0,20,208.4312736988068
1 4 1,21,210.1206481456757
1 4 2,22,211.8908315896988
1 4 3,23,213.63539993762976
1 4 4,24,215.47034382820132
1 4 5,25,217.2937989234925
1 4 6,26,219.1946804523469
1 4 7,27,221.0963666439057
1 4 8,28,223.0513691902161
1 4 9,29,225.0306606292725
1 4 10,30,227.06291079521185
1 4 11,31,229.12648320198065
1 4 12,32,231.20644688606268
1 4 13,33,233.33200812339788
1 4 14,34,235.5152517557145
1 4 15,35,237.7410978078843
1 4 16,36,239.98115956783303
1 5 0,21,210.13142168521884
1 5 1,22,211.8829786777497
1 5 2,23,213.6503905057908
1 5 3,24,215.4576182365418
1 5 4,25,217.3189371824265
1 5 5,26,219.2133069038392
1 5 6,27,221.13418579101568
1 5 7,28,223.05195033550268
1 5 8,29,225.0463068485261
1 5 9,30,227.05051302909857
1 5 10,31,229.1024029254914
1 5 11,32,231.21351003646856
1 5 12,33,233.3705872297288
1 5 13,34,235.5445474386216
1 5 14,35,237.71844804286965
1 5 15,36,239.98883366584784
1 5 16,37,242.2611862421037
1 6 0,22,211.86609566211703
1 6 1,23,213.6357575654984
1 6 2,24,215.45894443988809
1 6 3,25,217.3024564981461
1 6 4,26,219.1562801599503
1 6 5,27,221.1138010025025
1 6 6,28,223.05521368980413
1 6 7,29,225.04971921443945
1 6 8,30,227.0741760730744
1 6 9,31,229.12265360355383
1 6 10,32,231.21669888496405
1 6 11,33,233.3643734455109
1 6 12,34,235.5329394340516
1 6 13,35,237.74878680706036
1 6 14,36,239.9905025959016
1 6 15,37,242.2484904527665
1 6 16,38,244.57059800624856
1 7 0,23,213.6280536651612
1 7 1,24,215.4467552900315
1 7 2,25,217.3008620738984
1 7 3,26,219.18846666812905
1 7 4,27,221.09770774841317
1 7 5,28,223.05320203304296
1 7 6,29,225.0549495220185
